22:38:18.07,->,ID,,DLC,,,DATA,,,,
22:38:24.26,->,550,8,10,0,0,0,0,0,0,D0
22:38:24.26,->,450,8,0,0,0,0,0,0,B,0
22:38:24.29,->,540,8,4,0,0,0,0,0,0,0
22:38:24.32,->,540,8,6,0,0,0,0,0,0,0
22:38:24.35,->,550,8,10,0,0,0,0,0,0,50
22:38:24.35,->,450,8,0,0,0,0,0,0,B,0
22:38:24.39,->,540,8,4,0,0,0,0,0,0,0
22:38:24.42,->,540,8,6,0,0,0,0,0,0,0
22:38:24.45,->,550,8,10,0,0,0,0,0,0,90
22:38:24.49,->,450,8,0,0,0,0,0,0,B,0
22:38:24.49,->,540,8,6,0,0,0,0,0,0,0
22:38:24.52,->,450,8,0,0,0,0,0,0,B,0
22:38:24.55,->,550,8,10,0,0,0,0,0,0,D0
22:38:24.59,->,450,8,0,0,0,0,0,0,B,0
22:38:24.59,->,540,8,6,0,0,0,0,0,0,0
22:38:24.62,->,550,8,10,0,0,0,0,0,0,50
22:38:24.65,->,450,8,0,0,0,0,0,0,B,0
22:38:24.70,->,540,8,2,0,0,1,11,0,1,D7
22:38:24.70,->,540,8,6,0,0,0,0,0,0,0
22:38:24.72,->,550,8,10,0,0,0,0,0,0,90
22:38:24.75,->,450,8,0,0,0,0,0,0,B,0
22:38:24.79,->,540,8,2,0,0,1,11,0,1,D7
22:38:24.82,->,540,8,6,0,0,0,0,0,0,0
22:38:24.82,->,550,8,10,0,0,0,0,0,0,D0
22:38:24.85,->,450,8,0,0,0,0,0,0,B,0
22:38:24.89,->,541,8,2,0,0,0,0,0,FF,FF
22:38:24.92,->,540,8,6,0,0,0,0,0,0,0
22:38:24.92,->,550,8,10,0,0,0,0,0,0,50
22:38:24.95,->,450,8,0,0,0,0,0,0,B,0
22:38:24.99,->,540,8,4,0,0,0,0,0,0,0
22:38:25.02,->,540,8,6,0,0,0,0,0,0,0
22:38:25.05,->,550,8,10,0,0,0,0,0,0,90
22:38:25.05,->,450,8,0,0,0,0,0,0,B,0
22:38:25.09,->,540,8,4,0,0,0,0,0,0,0
22:38:25.12,->,540,8,6,0,0,0,0,0,0,0
22:38:25.15,->,550,8,10,0,0,0,0,0,0,D0
22:38:25.15,->,450,8,0,0,0,0,0,0,B,0
22:38:25.19,->,540,8,4,0,0,0,0,0,0,0
22:38:25.22,->,540,8,6,0,0,0,0,0,0,0
22:38:25.25,->,550,8,10,0,0,0,0,0,0,50
22:38:25.25,->,450,8,0,0,0,0,0,0,B,0
22:38:25.29,->,540,8,4,0,0,0,0,0,0,0
22:38:25.32,->,540,8,6,0,0,0,0,0,0,0
22:38:25.36,->,550,8,10,0,0,0,0,0,0,90
22:38:25.36,->,450,8,0,0,0,0,0,0,B,0
22:38:25.39,->,540,8,6,0,0,0,0,0,0,0
22:38:25.42,->,450,8,0,0,0,0,0,0,B,0
22:38:25.45,->,550,8,10,0,0,0,0,0,0,D0
22:38:25.49,->,450,8,0,0,0,0,0,0,B,0
22:38:25.49,->,540,8,6,0,0,0,0,0,0,0
22:38:25.52,->,450,8,0,0,0,0,0,0,B,0
22:38:25.55,->,550,8,10,0,0,0,0,0,0,50
22:38:25.59,->,450,8,0,0,0,0,0,0,B,0
22:38:25.59,->,540,8,6,0,0,0,0,0,0,0
22:38:25.63,->,550,8,10,0,0,0,0,0,0,90
22:38:25.65,->,450,8,0,0,0,0,0,0,B,0
22:38:25.69,->,540,8,2,0,0,1,11,0,1,D7
22:38:25.69,->,540,8,6,0,0,0,0,0,0,0
22:38:25.72,->,550,8,10,0,0,0,0,0,0,D0
22:38:25.75,->,450,8,0,0,0,0,0,0,B,0
