22:49:12.614,->,ID,DLC,,,,DATA,,,,
22:49:24.152,->,550,8,10,0,0,0,0,0,0,90
22:49:24.152,->,450,8,0,0,0,0,0,0,B,0
22:49:24.184,->,540,8,4,0,3E,0,0,0,40,0
22:49:24.218,->,550,8,10,0,0,0,0,0,0,D0
22:49:24.251,->,450,8,0,0,0,0,0,0,B,0
22:49:24.251,->,550,8,10,0,0,0,0,0,0,30
22:49:24.284,->,540,8,4,0,3E,0,0,0,43,0
22:49:24.317,->,550,8,10,0,0,0,0,0,0,50
22:49:24.350,->,450,8,0,0,0,0,0,0,B,0
22:49:24.383,->,540,8,2,21,1D,4,11,0,2,89
22:49:24.416,->,540,8,6,0,0,0,0,0,0,0
22:49:24.416,->,550,8,10,0,0,0,0,0,0,90
22:49:24.451,->,450,8,0,0,0,0,0,0,B,0
22:49:24.485,->,540,8,2,23,20,4,11,0,2,89
22:49:24.518,->,540,8,6,0,0,0,0,0,0,0
22:49:24.518,->,550,8,10,0,0,0,0,0,0,D0
22:49:24.551,->,450,8,0,0,0,0,0,0,B,0
22:49:24.586,->,540,8,4,0,3E,0,0,0,57,0
