22:24:21.95,->,ID,,DLC,,,DATA,,,,,
22:24:25.60,->,450,8,0,0,0,0,0,0,B,0,
22:24:25.60,->,550,8,10,0,0,0,0,0,0,D0,
22:24:25.63,->,540,8,2,0,0,1,11,0,1,5E,
22:24:25.67,->,540,8,6,0,0,0,0,0,0,0,
22:24:25.70,->,450,8,0,0,0,0,0,0,B,0,
22:24:25.70,->,550,8,10,0,0,0,0,0,0,50,
22:24:25.73,->,450,8,0,0,0,0,0,0,B,0,
22:24:25.76,->,540,8,6,0,0,0,0,0,0,0,
22:24:25.80,->,550,8,10,0,0,0,0,0,0,90,
22:24:25.83,->,540,8,2,0,0,1,11,0,1,5E,
22:24:25.83,->,540,8,4,0,0,0,0,0,0,0,
22:24:25.86,->,540,8,6,0,0,0,0,0,0,0,
22:24:25.90,->,550,8,10,0,0,0,0,0,0,D0,
22:24:25.93,->,540,8,2,0,0,1,11,0,1,5E,
22:24:25.96,->,540,8,4,0,0,0,0,0,0,0,
22:24:25.96,->,540,8,6,0,0,0,0,0,0,0,
22:24:26.00,->,550,8,10,0,0,0,0,0,0,50,
22:24:26.03,->,540,8,2,0,0,1,11,0,1,5E,
22:24:26.06,->,540,8,4,0,0,0,0,0,0,0,
22:24:26.06,->,540,8,6,0,0,0,0,0,0,0,
22:24:26.10,->,550,8,10,0,0,0,0,0,0,90,
22:24:26.13,->,540,8,2,0,0,1,11,0,1,5E,
22:24:26.16,->,540,8,6,0,0,0,0,0,0,0,
22:24:26.20,->,450,8,0,0,0,0,0,0,B,0,
22:24:26.20,->,550,8,10,0,0,0,0,0,0,D0,
22:24:26.23,->,540,8,2,0,0,1,11,0,1,5E,
22:24:26.26,->,540,8,6,0,0,0,0,0,0,0,
22:24:26.30,->,450,8,0,0,0,0,0,0,B,0,
22:24:26.30,->,550,8,10,0,0,0,0,0,0,50,
22:24:26.33,->,540,8,2,0,0,1,11,0,1,5E,
22:24:26.36,->,540,8,6,0,0,0,0,0,0,0,
22:24:26.40,->,550,8,10,0,0,0,0,0,0,90,
22:24:26.43,->,540,8,2,0,0,1,11,0,1,5E,
22:24:26.43,->,540,8,4,0,0,0,0,0,0,0,
22:24:26.46,->,540,8,6,0,0,0,0,0,0,0,
22:24:26.50,->,550,8,10,0,0,0,0,0,0,D0,
22:24:26.53,->,540,8,2,0,0,1,11,0,1,5E,
22:24:26.56,->,540,8,4,0,0,0,0,0,0,0,
22:24:26.56,->,540,8,6,0,0,0,0,0,0,0,
22:24:26.60,->,550,8,10,0,0,0,0,0,0,50,
22:24:26.63,->,540,8,2,0,0,1,11,0,1,5E,
22:24:26.66,->,540,8,4,0,0,0,0,0,0,0,
22:24:26.66,->,540,8,6,0,0,0,0,0,0,0,
22:24:26.69,->,550,8,10,0,0,0,0,0,0,90,
22:24:26.73,->,540,8,2,0,0,1,11,0,1,5E,
22:24:26.76,->,540,8,6,0,0,0,0,0,0,0,
22:24:26.79,->,450,8,0,0,0,0,0,0,B,0,
22:24:26.79,->,550,8,10,0,0,0,0,0,0,D0,
22:24:26.83,->,540,8,2,0,0,1,11,0,1,5E,
22:24:26.86,->,540,8,6,0,0,0,0,0,0,0,
22:24:26.89,->,450,8,0,0,0,0,0,0,B,0,
22:24:26.89,->,550,8,10,0,0,0,0,0,0,50,
22:24:26.93,->,540,8,2,0,0,1,11,0,1,5E,
22:24:26.96,->,540,8,6,0,0,0,0,0,0,0,
22:24:26.99,->,550,8,10,0,0,0,0,0,0,90,
22:24:27.03,->,540,8,2,0,0,1,11,0,1,5E,
22:24:27.06,->,550,8,10,0,0,0,0,0,0,B0,
22:24:27.06,->,540,8,6,0,0,0,0,0,0,0,
22:24:27.09,->,550,8,10,0,0,0,0,0,0,D0,
22:24:27.13,->,540,8,2,0,0,1,11,0,1,5E,
22:24:27.16,->,540,8,4,0,0,0,0,0,0,0,
22:24:27.19,->,540,8,6,0,0,0,0,0,0,0,
22:24:27.19,->,550,8,10,0,0,0,0,0,0,50,
22:24:27.23,->,540,8,2,0,0,1,11,0,1,5E,
22:24:27.26,->,540,8,4,0,0,0,0,0,0,0,
22:24:27.30,->,540,8,6,0,0,0,0,0,0,0,
22:24:27.30,->,550,8,10,0,0,0,0,0,0,90,
22:24:27.33,->,540,8,2,0,0,1,11,0,1,5E,
22:24:27.36,->,540,8,6,0,0,0,0,0,0,0,
22:24:27.40,->,450,8,0,0,0,0,0,0,B,0,
22:24:27.40,->,550,8,10,0,0,0,0,0,0,D0,
22:24:27.43,->,540,8,2,0,0,1,11,0,1,5E,
22:24:27.46,->,540,8,6,0,0,0,0,0,0,0,
22:24:27.50,->,450,8,0,0,0,0,0,0,B,0,
22:24:27.53,->,550,8,10,0,0,0,0,0,0,50,
22:24:27.53,->,540,8,2,0,0,1,11,0,1,5E,
22:24:27.56,->,540,8,6,0,0,0,0,0,0,0,
22:24:27.60,->,550,8,10,0,0,0,0,0,0,90,
22:24:27.63,->,540,8,2,0,0,1,11,0,1,5E,
22:24:27.66,->,540,8,4,0,0,0,0,0,0,0,
22:24:27.66,->,540,8,6,0,0,0,0,0,0,0,
22:24:27.70,->,550,8,10,0,0,0,0,0,0,D0,
22:24:27.73,->,540,8,2,0,0,1,11,0,1,5E,
22:24:27.76,->,540,8,4,0,0,0,0,0,0,0,
22:24:27.76,->,540,8,6,0,0,0,0,0,0,0,
22:24:27.80,->,550,8,10,0,0,0,0,0,0,50,
22:24:27.83,->,540,8,2,0,0,1,11,0,1,5E,
22:24:27.86,->,540,8,4,0,0,0,0,0,0,0,
22:24:27.86,->,540,8,6,0,0,0,0,0,0,0,
22:24:27.89,->,550,8,10,0,0,0,0,0,0,90,
22:24:27.93,->,540,8,2,0,0,1,11,0,1,5E,
22:24:27.96,->,540,8,6,0,0,0,0,0,0,0,
22:24:27.99,->,450,8,0,0,0,0,0,0,B,0,
22:24:27.99,->,550,8,10,0,0,0,0,0,0,D0,
22:24:28.03,->,540,8,2,0,0,1,11,0,1,5E,
22:24:28.06,->,540,8,6,0,0,0,0,0,0,0,
22:24:28.11,->,450,8,0,0,0,0,0,0,B,0,
22:24:28.11,->,550,8,10,0,0,0,0,0,0,50,
22:24:28.13,->,540,8,2,0,0,1,11,0,1,5E,
22:24:28.16,->,540,8,6,0,0,0,0,0,0,0,
22:24:28.20,->,550,8,10,0,0,0,0,0,0,90,
